number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
45,dublin,DEVERELL PLACE,Deverell Place,False,False,30,22,8,OPEN,1744020226000,53.351464,-6.255265
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),False,False,40,12,27,OPEN,1744020392000,53.333653,-6.248345
72,dublin,JOHN STREET WEST,John Street West,False,False,31,29,2,OPEN,1744020173000,53.343105,-6.277167
63,dublin,FENIAN STREET,Fenian Street,False,False,35,10,25,OPEN,1744020690000,53.341428,-6.24672
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,False,False,40,31,9,OPEN,1744020104000,53.338614,-6.248606
91,dublin,SOUTH DOCK ROAD,South Dock Road,False,False,30,6,23,OPEN,1744020635000,53.341833,-6.231291
99,dublin,CITY QUAY,City Quay,False,False,30,24,6,OPEN,1744020667000,53.346637,-6.246154
9,dublin,EXCHEQUER STREET,Exchequer Street,False,False,24,10,14,OPEN,1744020537000,53.343034,-6.263578
67,dublin,THE POINT,The Point,False,False,40,39,1,OPEN,1744020656000,53.346867,-6.230852
116,dublin,BROADSTONE,Broadstone,False,False,30,30,0,OPEN,1744020151000,53.3547,-6.272314
55,dublin,HATCH STREET,Hatch Street,False,False,36,18,17,OPEN,1744020229000,53.33403,-6.260714
62,dublin,LIME STREET,Lime Street,False,False,40,2,38,OPEN,1744020125000,53.346026,-6.243576
5,dublin,CHARLEMONT PLACE,Charlemont Street,False,False,40,21,19,OPEN,1744020375000,53.330662,-6.260177
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,False,False,40,28,12,OPEN,1744020671000,53.342113,-6.310015
61,dublin,HARDWICKE PLACE,Hardwicke Place,False,False,25,25,0,OPEN,1744020547000,53.357043,-6.263232
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,False,False,29,17,12,OPEN,1744020503000,53.348875,-6.267459
73,dublin,FRANCIS STREET,Francis Street,False,False,30,26,4,OPEN,1744020282000,53.342081,-6.275233
4,dublin,GREEK STREET,Greek Street,False,False,20,10,10,OPEN,1744020447000,53.346874,-6.272976
49,dublin,GUILD STREET,Guild Street,False,False,40,23,14,OPEN,1744020485000,53.347932,-6.240928
19,dublin,HERBERT PLACE,Herbert Place,False,False,30,1,29,OPEN,1744020466000,53.334432,-6.245575
7,dublin,HIGH STREET,High Street,False,False,29,26,3,OPEN,1744020665000,53.343565,-6.275071
60,dublin,NORTH CIRCULAR ROAD,North Circular Road,False,False,30,27,3,OPEN,1744020337000,53.359624,-6.260348
102,dublin,WESTERN WAY,Western Way,False,False,40,37,3,OPEN,1744020261000,53.354929,-6.269425
38,dublin,TALBOT STREET,Talbot Street,False,False,40,27,13,OPEN,1744020689000,53.350974,-6.25294
53,dublin,NEWMAN HOUSE,Newman House,False,False,40,27,13,OPEN,1744020379000,53.337132,-6.26059
58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,False,False,40,14,24,OPEN,1744020387000,53.339218,-6.240642
66,dublin,NEW CENTRAL BANK,New Central Bank,False,False,40,17,23,OPEN,1744020696000,53.347122,-6.234749
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),False,False,40,40,0,OPEN,1744020683000,53.355173,-6.278424
101,dublin,KING STREET NORTH,King Street North,False,False,30,28,2,OPEN,1744020624000,53.350291,-6.273507
115,dublin,KILLARNEY STREET,Killarney Street,False,False,30,27,3,OPEN,1744020321000,53.354845,-6.247579
47,dublin,HERBERT STREET,Herbert Street,False,False,40,26,13,OPEN,1744020646000,53.335742,-6.24551
117,dublin,HANOVER QUAY EAST,Hanover Quay East,False,False,40,17,22,OPEN,1744020625000,53.343653,-6.231755
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,False,False,30,22,8,OPEN,1744020535000,53.347884,-6.248048
27,dublin,MOLESWORTH STREET,Molesworth Street,False,False,20,17,3,OPEN,1744020688000,53.341288,-6.258117
16,dublin,GEORGES QUAY,Georges Quay,False,False,20,8,12,OPEN,1744020567000,53.347508,-6.252192
96,dublin,KILMAINHAM LANE,Kilmainham Lane,False,False,30,25,5,OPEN,1744020545000,53.341805,-6.305085
82,dublin,MOUNT BROWN,Mount Brown,False,False,22,21,1,OPEN,1744020605000,53.341645,-6.29719
76,dublin,MARKET STREET SOUTH,Market Street South,False,False,38,29,9,OPEN,1744020530000,53.342296,-6.287661
71,dublin,KEVIN STREET,Kevin Street,False,False,40,31,9,OPEN,1744020596000,53.337757,-6.267699
79,dublin,ECCLES STREET EAST,Eccles Street East,False,False,27,22,5,OPEN,1744020466000,53.358115,-6.265601
69,dublin,GRAND CANAL DOCK,Grand Canal Dock,False,False,40,8,31,OPEN,1744020678000,53.342638,-6.238695
25,dublin,MERRION SQUARE EAST,Merrion Square East,False,False,30,16,14,OPEN,1744020677000,53.339434,-6.246548
51,dublin,YORK STREET WEST,York Street West,False,False,40,0,0,OPEN,1744020541000,53.339334,-6.264699
37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,False,False,30,7,22,OPEN,1744020658000,53.337494,-6.26199
59,dublin,DENMARK STREET GREAT,Denmark Street Great,False,False,20,20,0,OPEN,1744020185000,53.35561,-6.261397
95,dublin,ROYAL HOSPITAL,Royal Hospital,False,False,40,26,14,OPEN,1744020491000,53.343897,-6.29706
94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),False,False,40,24,16,OPEN,1744020211000,53.346985,-6.297804
105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),False,False,36,35,1,OPEN,1744020322000,53.355954,-6.278378
36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,False,False,40,12,28,OPEN,1744020127000,53.337824,-6.256035
93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),False,False,40,40,0,OPEN,1744020676000,53.346603,-6.296924
22,dublin,TOWNSEND STREET,Townsend Street,False,False,20,18,2,OPEN,1744020209000,53.345922,-6.254614
50,dublin,GEORGES LANE,George's Lane,False,False,40,40,0,OPEN,1744020279000,53.35023,-6.279696
110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,False,False,40,40,0,OPEN,1744020272000,53.356307,-6.273717
12,dublin,ECCLES STREET,Eccles Street,False,False,20,20,0,OPEN,1744020618000,53.359246,-6.269779
34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,False,False,30,19,11,OPEN,1744020639000,53.330362,-6.265163
78,dublin,MATER HOSPITAL,Mater Hospital,False,False,40,40,0,OPEN,1744020678000,53.359967,-6.264828
2,dublin,BLESSINGTON STREET,Blessington Street,False,False,20,20,0,OPEN,1744020109000,53.356769,-6.26814
75,dublin,JAMES STREET,James Street,False,False,40,34,6,OPEN,1744020253000,53.343456,-6.287409
111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,False,False,40,40,0,OPEN,1744020581000,53.356717,-6.256359
26,dublin,MERRION SQUARE WEST,Merrion Square West,False,False,20,4,16,OPEN,1744020526000,53.339764,-6.251988
65,dublin,CONVENTION CENTRE,Convention Centre,False,False,40,16,24,OPEN,1744020468000,53.34744,-6.238523
15,dublin,HARDWICKE STREET,Hardwicke Street,False,False,16,16,0,OPEN,1744020399000,53.355473,-6.264423
86,dublin,PARKGATE STREET,Parkgate Street,False,False,38,37,1,OPEN,1744020614000,53.347972,-6.291804
35,dublin,SMITHFIELD,Smithfield,False,False,30,8,22,OPEN,1744020269000,53.347692,-6.278214
10,dublin,DAME STREET,Dame Street,False,False,16,2,12,OPEN,1744020621000,53.344007,-6.266802
100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),False,False,25,24,1,OPEN,1744020395000,53.347106,-6.292041
24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,False,False,20,13,7,OPEN,1744020339000,53.352149,-6.260533
64,dublin,SANDWITH STREET,Sandwith Street,False,False,40,32,8,OPEN,1744020254000,53.345203,-6.247163
109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,False,False,29,29,0,OPEN,1744020134000,53.353331,-6.249319
85,dublin,ROTHE ABBEY,Rothe Abbey,False,False,35,33,2,OPEN,1744020256000,53.338776,-6.30395
107,dublin,CHARLEVILLE ROAD,Charleville Road,False,False,40,36,4,OPEN,1744020665000,53.359157,-6.281866
33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,False,False,23,16,7,OPEN,1744020329000,53.349013,-6.260311
44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,False,False,30,27,3,OPEN,1744020116000,53.358437,-6.260641
89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,False,False,40,32,8,OPEN,1744020166000,53.335211,-6.2509
57,dublin,GRATTAN STREET,Grattan Street,False,False,23,20,3,OPEN,1744020605000,53.339629,-6.243778
80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),False,False,40,27,13,OPEN,1744020229000,53.341359,-6.292951
41,dublin,HARCOURT TERRACE,Harcourt Terrace,False,False,20,18,2,OPEN,1744020579000,53.332763,-6.257942
3,dublin,BOLTON STREET,Bolton Street,False,False,20,11,9,OPEN,1744020141000,53.351182,-6.269859
40,dublin,JERVIS STREET,Jervis Street,False,False,21,10,11,OPEN,1744020209000,53.3483,-6.266651
29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,False,False,29,20,9,OPEN,1744020507000,53.346057,-6.268001
103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),False,False,40,26,14,OPEN,1744020533000,53.354663,-6.278681
28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,False,False,30,30,0,OPEN,1744020257000,53.356299,-6.258586
39,dublin,WILTON TERRACE,Wilton Terrace,False,False,20,15,5,OPEN,1744020335000,53.332383,-6.252717
83,dublin,EMMET ROAD,Emmet Road,False,False,40,16,24,OPEN,1744020253000,53.340714,-6.308191
92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),False,False,40,33,7,OPEN,1744020100000,53.347802,-6.292432
21,dublin,LEINSTER STREET SOUTH,Leinster Street South,False,False,30,5,23,OPEN,1744020606000,53.34218,-6.254485
88,dublin,BLACKHALL PLACE,Blackhall Place,False,False,30,29,1,OPEN,1744020143000,53.3488,-6.281637
