number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude,timestamp
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,FALSE,FALSE,40,14,26,OPEN,1.74203E+12,53.342113,-6.310015,3/15/2025 9:38
61,dublin,HARDWICKE PLACE,Hardwicke Place,FALSE,FALSE,25,25,0,OPEN,1.74203E+12,53.357043,-6.263232,3/15/2025 9:38
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,FALSE,FALSE,29,17,12,OPEN,1.74203E+12,53.348875,-6.267459,3/15/2025 9:38
73,dublin,FRANCIS STREET,Francis Street,FALSE,FALSE,30,13,17,OPEN,1.74203E+12,53.342081,-6.275233,3/15/2025 9:38
4,dublin,GREEK STREET,Greek Street,FALSE,FALSE,20,14,5,OPEN,1.74203E+12,53.346874,-6.272976,3/15/2025 9:38
49,dublin,GUILD STREET,Guild Street,FALSE,FALSE,40,25,15,OPEN,1.74203E+12,53.347932,-6.240928,3/15/2025 9:38
19,dublin,HERBERT PLACE,Herbert Place,FALSE,FALSE,30,29,1,OPEN,1.74203E+12,53.334432,-6.245575,3/15/2025 9:38
7,dublin,HIGH STREET,High Street,FALSE,FALSE,29,19,10,OPEN,1.74203E+12,53.343565,-6.275071,3/15/2025 9:38
60,dublin,NORTH CIRCULAR ROAD,North Circular Road,FALSE,FALSE,30,12,18,OPEN,1.74203E+12,53.359624,-6.260348,3/15/2025 9:38
102,dublin,WESTERN WAY,Western Way,FALSE,FALSE,40,15,25,OPEN,1.74203E+12,53.354929,-6.269425,3/15/2025 9:38
38,dublin,TALBOT STREET,Talbot Street,FALSE,FALSE,40,19,20,OPEN,1.74203E+12,53.350974,-6.25294,3/15/2025 9:38
53,dublin,NEWMAN HOUSE,Newman House,FALSE,FALSE,40,40,0,OPEN,1.74203E+12,53.337132,-6.26059,3/15/2025 9:38
58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,FALSE,FALSE,40,26,14,OPEN,1.74203E+12,53.339218,-6.240642,3/15/2025 9:38
66,dublin,NEW CENTRAL BANK,New Central Bank,FALSE,FALSE,40,33,7,OPEN,1.74203E+12,53.347122,-6.234749,3/15/2025 9:38
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),FALSE,FALSE,40,36,4,OPEN,1.74203E+12,53.355173,-6.278424,3/15/2025 9:38
101,dublin,KING STREET NORTH,King Street North,FALSE,FALSE,30,16,14,OPEN,1.74203E+12,53.350291,-6.273507,3/15/2025 9:38
115,dublin,KILLARNEY STREET,Killarney Street,FALSE,FALSE,30,5,25,OPEN,1.74203E+12,53.354845,-6.247579,3/15/2025 9:38
47,dublin,HERBERT STREET,Herbert Street,FALSE,FALSE,40,39,1,OPEN,1.74203E+12,53.335742,-6.24551,3/15/2025 9:38
117,dublin,HANOVER QUAY EAST,Hanover Quay East,FALSE,FALSE,40,27,13,OPEN,1.74203E+12,53.343653,-6.231755,3/15/2025 9:38
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,FALSE,FALSE,30,12,18,OPEN,1.74203E+12,53.347884,-6.248048,3/15/2025 9:38
27,dublin,MOLESWORTH STREET,Molesworth Street,FALSE,FALSE,20,15,5,OPEN,1.74203E+12,53.341288,-6.258117,3/15/2025 9:38
16,dublin,GEORGES QUAY,Georges Quay,FALSE,FALSE,20,4,16,OPEN,1.74203E+12,53.347508,-6.252192,3/15/2025 9:38
96,dublin,KILMAINHAM LANE,Kilmainham Lane,FALSE,FALSE,30,18,12,OPEN,1.74203E+12,53.341805,-6.305085,3/15/2025 9:38
82,dublin,MOUNT BROWN,Mount Brown,FALSE,FALSE,22,15,7,OPEN,1.74203E+12,53.341645,-6.29719,3/15/2025 9:38
76,dublin,MARKET STREET SOUTH,Market Street South,FALSE,FALSE,38,26,12,OPEN,1.74203E+12,53.342296,-6.287661,3/15/2025 9:38
71,dublin,KEVIN STREET,Kevin Street,FALSE,FALSE,40,27,13,OPEN,1.74203E+12,53.337757,-6.267699,3/15/2025 9:38
79,dublin,ECCLES STREET EAST,Eccles Street East,FALSE,FALSE,27,22,5,OPEN,1.74203E+12,53.358115,-6.265601,3/15/2025 9:38
69,dublin,GRAND CANAL DOCK,Grand Canal Dock,FALSE,FALSE,40,11,29,OPEN,1.74203E+12,53.342638,-6.238695,3/15/2025 9:38
25,dublin,MERRION SQUARE EAST,Merrion Square East,FALSE,FALSE,30,26,4,OPEN,1.74203E+12,53.339434,-6.246548,3/15/2025 9:38
51,dublin,YORK STREET WEST,York Street West,FALSE,FALSE,40,0,0,OPEN,1.74203E+12,53.339334,-6.264699,3/15/2025 9:38
37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,FALSE,FALSE,30,11,19,OPEN,1.74203E+12,53.337494,-6.26199,3/15/2025 9:38
59,dublin,DENMARK STREET GREAT,Denmark Street Great,FALSE,FALSE,20,20,0,OPEN,1.74203E+12,53.35561,-6.261397,3/15/2025 9:38
95,dublin,ROYAL HOSPITAL,Royal Hospital,FALSE,FALSE,40,17,23,OPEN,1.74203E+12,53.343897,-6.29706,3/15/2025 9:38
94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),FALSE,FALSE,40,8,32,OPEN,1.74203E+12,53.346985,-6.297804,3/15/2025 9:38
105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),FALSE,FALSE,36,20,16,OPEN,1.74203E+12,53.355954,-6.278378,3/15/2025 9:38
36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,FALSE,FALSE,40,32,8,OPEN,1.74203E+12,53.337824,-6.256035,3/15/2025 9:38
93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),FALSE,FALSE,40,14,26,OPEN,1.74203E+12,53.346603,-6.296924,3/15/2025 9:38
22,dublin,TOWNSEND STREET,Townsend Street,FALSE,FALSE,20,5,15,OPEN,1.74203E+12,53.345922,-6.254614,3/15/2025 9:38
50,dublin,GEORGES LANE,George's Lane,FALSE,FALSE,40,34,6,OPEN,1.74203E+12,53.35023,-6.279696,3/15/2025 9:38
110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,FALSE,FALSE,40,36,4,OPEN,1.74203E+12,53.356307,-6.273717,3/15/2025 9:38
12,dublin,ECCLES STREET,Eccles Street,FALSE,FALSE,20,18,2,OPEN,1.74203E+12,53.359246,-6.269779,3/15/2025 9:38
34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,FALSE,FALSE,30,20,10,OPEN,1.74203E+12,53.330362,-6.265163,3/15/2025 9:38
78,dublin,MATER HOSPITAL,Mater Hospital,FALSE,FALSE,40,25,15,OPEN,1.74203E+12,53.359967,-6.264828,3/15/2025 9:38
2,dublin,BLESSINGTON STREET,Blessington Street,FALSE,FALSE,20,20,0,OPEN,1.74203E+12,53.356769,-6.26814,3/15/2025 9:38
75,dublin,JAMES STREET,James Street,FALSE,FALSE,40,28,12,OPEN,1.74203E+12,53.343456,-6.287409,3/15/2025 9:38
111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,FALSE,FALSE,40,40,0,OPEN,1.74203E+12,53.356717,-6.256359,3/15/2025 9:38
26,dublin,MERRION SQUARE WEST,Merrion Square West,FALSE,FALSE,20,13,7,OPEN,1.74203E+12,53.339764,-6.251988,3/15/2025 9:38
65,dublin,CONVENTION CENTRE,Convention Centre,FALSE,FALSE,40,29,11,OPEN,1.74203E+12,53.34744,-6.238523,3/15/2025 9:38
15,dublin,HARDWICKE STREET,Hardwicke Street,FALSE,FALSE,16,11,5,OPEN,1.74203E+12,53.355473,-6.264423,3/15/2025 9:38
86,dublin,PARKGATE STREET,Parkgate Street,FALSE,FALSE,38,6,32,OPEN,1.74203E+12,53.347972,-6.291804,3/15/2025 9:38
35,dublin,SMITHFIELD,Smithfield,FALSE,FALSE,30,8,22,OPEN,1.74203E+12,53.347692,-6.278214,3/15/2025 9:38
10,dublin,DAME STREET,Dame Street,FALSE,FALSE,16,5,11,OPEN,1.74203E+12,53.344007,-6.266802,3/15/2025 9:38
100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),FALSE,FALSE,25,3,22,OPEN,1.74203E+12,53.347106,-6.292041,3/15/2025 9:38
24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,FALSE,FALSE,20,19,1,OPEN,1.74203E+12,53.352149,-6.260533,3/15/2025 9:38
64,dublin,SANDWITH STREET,Sandwith Street,FALSE,FALSE,40,30,10,OPEN,1.74203E+12,53.345203,-6.247163,3/15/2025 9:38
109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,FALSE,FALSE,29,18,11,OPEN,1.74203E+12,53.353331,-6.249319,3/15/2025 9:38
