number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),False,False,40,40,0,OPEN,1743207631000,53.355173,-6.278424
101,dublin,KING STREET NORTH,King Street North,False,False,30,22,8,OPEN,1743207450000,53.350291,-6.273507
115,dublin,KILLARNEY STREET,Killarney Street,False,False,30,11,19,OPEN,1743207817000,53.354845,-6.247579
47,dublin,HERBERT STREET,Herbert Street,False,False,40,40,0,OPEN,1743207506000,53.335742,-6.24551
117,dublin,HANOVER QUAY EAST,Hanover Quay East,False,False,40,38,2,OPEN,1743207470000,53.343653,-6.231755
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,False,False,30,8,22,OPEN,1743207497000,53.347884,-6.248048
27,dublin,MOLESWORTH STREET,Molesworth Street,False,False,20,20,0,OPEN,1743207756000,53.341288,-6.258117
16,dublin,GEORGES QUAY,Georges Quay,False,False,20,0,20,OPEN,1743207343000,53.347508,-6.252192
96,dublin,KILMAINHAM LANE,Kilmainham Lane,False,False,30,17,13,OPEN,1743207294000,53.341805,-6.305085
82,dublin,MOUNT BROWN,Mount Brown,False,False,22,12,10,OPEN,1743207342000,53.341645,-6.29719
76,dublin,MARKET STREET SOUTH,Market Street South,False,False,38,34,4,OPEN,1743207302000,53.342296,-6.287661
71,dublin,KEVIN STREET,Kevin Street,False,False,40,30,10,OPEN,1743207483000,53.337757,-6.267699
79,dublin,ECCLES STREET EAST,Eccles Street East,False,False,27,27,0,OPEN,1743207633000,53.358115,-6.265601
69,dublin,GRAND CANAL DOCK,Grand Canal Dock,False,False,40,30,10,OPEN,1743207840000,53.342638,-6.238695
25,dublin,MERRION SQUARE EAST,Merrion Square East,False,False,30,28,2,OPEN,1743207708000,53.339434,-6.246548
51,dublin,YORK STREET WEST,York Street West,False,False,40,0,0,OPEN,1743207325000,53.339334,-6.264699
